City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sandnessjoen,66.0217,12.6316,9.12,93,75,6.17,NO,1696352525
1,madinat ash shamal,26.1293,51.2009,31.84,65,0,3.75,QA,1696352526
2,invercargill,-46.4,168.35,7.89,55,99,3.72,NZ,1696352526
3,west island,-12.1568,96.8225,24.99,69,83,7.2,CC,1696352527
4,nova sintra,14.8667,-24.7167,23.83,75,75,1.72,CV,1696352528
5,palafrugell,41.9174,3.1631,26.46,44,88,0.45,ES,1696352528
6,tiksi,71.6872,128.8694,-2.34,91,100,3.09,RU,1696352529
7,elverum,60.8819,11.5623,8.43,79,81,0.56,NO,1696352529
8,zhezqazghan,47.7833,67.7667,12.7,51,28,3.44,KZ,1696352530
9,muscatine,41.4667,-91.1335,29.46,42,0,5.66,US,1696352530
10,nguigmi,14.2495,13.1092,32.8,30,17,6.96,NE,1696352531
11,el calafate,-50.3408,-72.2768,8.21,63,41,2.3,AR,1696352532
12,freetown,8.484,-13.2299,27.68,78,98,4.34,SL,1696352533
13,haugesund,59.4138,5.268,14.12,82,75,8.75,NO,1696352533
14,kirensk,57.7853,108.1119,2.23,65,100,4.47,RU,1696352534
15,ust-tsilma,65.441,52.1498,3.67,81,99,4.47,RU,1696352534
16,tura,25.5198,90.2201,23.14,97,21,2.72,IN,1696352535
17,fale old settlement,-9.3852,-171.2468,28.27,79,16,8.27,TK,1696352535
18,maihar,24.2667,80.75,23.16,46,100,1.51,IN,1696352536
19,aasiaat,68.7098,-52.8699,-3.52,57,16,3.67,GL,1696352536
20,grytviken,-54.2811,-36.5092,2.47,60,100,2.09,GS,1696352537
21,mount gambier,-37.8333,140.7667,5.53,90,47,0.61,AU,1696352538
22,kili,5.6439,169.1211,28.75,76,38,3.67,MH,1696352539
23,port-aux-francais,-49.35,70.2167,2.86,96,100,20.19,TF,1696352540
24,klyuchi,52.2667,79.1667,7.4,44,34,3.31,RU,1696352540
25,ust'-kut,56.7938,105.7672,1.35,98,100,4.02,RU,1696352541
26,hawaiian paradise park,19.5933,-154.9731,23.35,97,19,0.88,US,1696352541
27,puerto ayora,-0.7393,-90.3518,28.98,91,63,2.68,EC,1696352542
28,blackmans bay,-43.0167,147.3167,9.29,70,99,1.28,AU,1696352543
29,ta`u,-14.2336,-169.5144,26.56,82,43,8.82,AS,1696352543
